Region,Country,Pre-2007,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 (partial),Operational but Unknown Year,Total 2007-2023
Europe,Bulgaria,0,0,0,0,0,0,208,0,0,0,0,0,0,26,0,57,93,0,0,384
Europe,Czech Republic,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
Europe,Denmark,0,0,0,0,0,0,0,0,0,136,0,45,25,0,199,284,348,0,38,1075
Europe,France,0,0,0,0,89,177,305,62,0,300,30,218,90,0,30,507,102,0,198,2109
Europe,Germany,0,0,24,231,160,750,961,20,0,20,0,0,21,0,208,500,937,97,40,3968
Europe,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,224,0,58,320
Europe,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,41,61,92,120,161,0,0,475
Europe,Italy,0,0,0,20,177,168,66,0,0,20,0,0,26,0,274,0,40,67,382,1240
Europe,Netherlands,0,0,0,0,0,0,0,0,0,0,0,30,99,204,365.3,293,179,0,0,1170
Europe,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,281,62,0,477
Europe,Portugal,0,0,46,0,0,0,0,0,0,0,0,0,46,73.8,252.5,457,237.5,46,24,1183
Europe,Romania,0,0,0,0,0,0,0,160,199,0,0,0,0,0,0,0,0,0,0,359
Europe,Russia,0,0,0,0,0,0,0,0,0,65,0,50,130,310,230,303,72.6,0,85,1246
Europe,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
Europe,Spain,0,101.5,398,320,275.8,449.8,853.7,299.7,49.9,0,0,0,175,2621.9,2547.7,2961.4,3151.8,204.8,2082.8,16494
Europe,Ukraine,0,0,0,0,0,146,140,232,0,0,0,0,111,1433.5,163,235,0,0,42,2503
Europe,United Kingdom,0,0,0,0,0,0,0,34,554,860,642,50,27,86,65,115,40,25,70,2568
Oceania,Australia,0,0,0,0,0,0,0,0,0,53,192,225,1750.1,1368.4,1702,1025.5,1990,688,0,8994
Oceania,Guam,0,0,0,0,0,0,0,0,0,37.2,0,0,0,0,0,0,60,0,0,97
